AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
717;6;MRJ-70/STD/ER/LR;MITSUBISHI;MRJ-70/STD/ER/LR;MRJ-70;1-7-2015;
718;6;MRJ-90/STD/SR/LR;MITSUBISHI;MRJ-90/STD/SR/LR;MRJ-90;1-7-2015;
51;0;MOONEY M-21;MOONEY;MOONEY M-21;M-21;1-1-1990;
52;0;MOONEY M-20C/E/G;MOONEY;MOONEY M-20C/E/G;M-20C/E;1-1-1990;
465;4;NIHON YS-11;NIHON (NAMCO);NIHON YS-11;YS-11;1-1-1990;
65;0;NOORDUYN UC-64AS;NOORDUYN;NOORDUYN UC-64AS;UC-64AS;1-1-1990;
475;4;NORD 262;NORD AVIATION;NORD 262;N-262;1-1-1990;
477;4;MOHAWK 298;NORD AVIATION;MOHAWK 298;MO-298;1-1-1990;
425;4;PIAGGIO P180 AVANT;PIAGGIO AVANTI;PIAGGIO P180 AVANTI;AVANTI;1-1-2016;
70;0;PILATUS PORTER PC6;PILATUS;PILATUS PORTER PC6;PC6;1-1-1990;
71;0;PILATUS PC6/350;PILATUS;PILATUS PORTER PC6/350;PC6/350;1-1-1990;
479;4;PILATUS PC-12;PILATUS;PILATUS PC-12;PC-12;1-1-1999;
480;4;PILATUS PORTR PC6A;PILATUS;PILATUS TURBO PORTER PC-6A;PC-6A;1-1-1990;
481;4;PILATUS PORTR PC6B;PILATUS;PILATUS TURBO PORTER PC-6B;PC-6B;1-1-1990;
131;2;BRITT-NORMAN BN2/A;PILATUS BRITTEN-NORMAN;PILATUS BRITTEN-NORMAN BN2/A ISLANDER;ISLANDER;1-1-1990;
201;4;BN2A TRISLANDER;PILATUS BRITTEN-NORMAN;PILATUS BRITTEN-NORMAN BN2A TRISLANDER;TRISLNDR;1-1-1990;
79;0;PIPER PA-32;PIPER;PIPER PA-32 (CHEROKEE 6);PA-32;1-1-1990;
